"filename","year","species","sitetype","volume","detections_algo1_50q_40s","detections_algo1_60q_50s","detections_algo1_70q_60s","detections_algo2_50q_40s","detections_algo2_60q_50s","detections_algo2_70q_60s"
"1","Sound P14-C01-1012_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2","Sound P14-C01-1012_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3","Sound P14-C01-1012_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4","Sound P14-C01-1112_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5","Sound P14-C01-1112_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6","Sound P14-C01-1112_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7","Sound P14-C01-112_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8","Sound P14-C01-112_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9","Sound P14-C01-112_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10","Sound P14-C01-12_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"11","Sound P14-C01-12_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"12","Sound P14-C01-12_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"13","Sound P14-C01-1212_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"14","Sound P14-C01-1212_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"15","Sound P14-C01-1212_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"16","Sound P14-C01-1312_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"17","Sound P14-C01-1312_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"18","Sound P14-C01-1312_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"19","Sound P14-C01-137_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"20","Sound P14-C01-137_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"21","Sound P14-C01-137_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"22","Sound P14-C01-162_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"23","Sound P14-C01-162_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"24","Sound P14-C01-162_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"25","Sound P14-C01-187_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"26","Sound P14-C01-187_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"27","Sound P14-C01-187_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"28","Sound P14-C01-212_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"29","Sound P14-C01-212_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"30","Sound P14-C01-212_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"31","Sound P14-C01-237_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"32","Sound P14-C01-237_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"33","Sound P14-C01-237_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"34","Sound P14-C01-337_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
